Fila,Participante_declarado,Fragmento,Estado,Participante_real_si_difiere,Similitud,Evidencia_o_ventana_aproximada
1,P03,"Por medio de hojas de historial clínico, tanto físicos, ¿sí? Se usa un pequeño software veterinario, pero es como para lo básico, ingresar el paciente, paciente, motivo de consulta y todo eso.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
2,P03,"Claro que te demora más buscando el nombre del paciente... el software solamente es básico. Entonces, le permite solamente ver el nombre de edad y razones anteriores de consulta. Más los tratamientos completos cuando están en las carpetas físicas.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
3,P03,"Cuando no está la secretaria, suelo demorarme más porque tengo yo que hacer el trabajo de la secretaria, de despachar, coger datos para facturación.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
4,P03,"No, no he tenido problemas con faltantes y por consumo se hace el inventario una vez a la semana, todos los sábados. Se lleva un control físico y también por el sistema de bancaridad.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
5,P03,"Por lo general no se hace con cita previa. O sea, sí es rara vez... pero por lo general llegan y es cita previa. Llegan, esperan.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
6,P03,Por vía WhatsApp y por próxima citación. Entonces yo igual hago el seguimiento de mis pacientes.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
7,P03,"Entonces cambia dependiendo de la patología que le presente el paciente. Por ejemplo, enfermedades renales... dos veces a la semana. Cuando son menos complicadas, una vez a la semana.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
8,P03,Creo que será en un 30 o un 40%. Lamentablemente.,LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
9,P03,"No lo hago sin verlo físicamente. Tengo que verle al paciente primero... tráiganme al paciente, yo chequeo, reviso.",LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
10,P03,"Ahorita te facilita mucho realmente la tecnología, pones el medicamento y te reajusta dosis con el peso, sin yo necesitar hacer todo el cálculo físico.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
11,P03,Medianamente de acuerdo... en estas cosas de medicina yo siempre digo que es importantísimo valorar al paciente.,LITERAL_CON_ELIPSIS,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
12,P03,"Todo lo que es facturación, metas, inventario. Para mí eso es tedioso.",LITERAL,,1.0,"Cita verbatim corregida y verificada contra la transcripcion real (fase final, 20/09/2026)"
