Fila,Participante,Participante_declarado_original,Confianza_verificacion,Codigo_abierto,Categoria_axial,Codigo_axial
1,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Historial mixto físico-digital básico,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
2,P03,P01,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Demora en búsqueda de historial,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
3,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Sobrecarga en facturación sin personal,Gestión administrativa y financiera,Sobrecarga administrativa/operativa sin personal de apoyo
4,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Control de inventario semanal manual,Inventario,Ausencia de control de inventario formal (manual/inexistente)
5,P03,P01,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Atención con y sin cita previa,Citas y comunicación con propietarios,Modalidad mixta de atención (con y sin cita previa)
6,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Comunicación vía WhatsApp,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
7,P03,P01,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Seguimiento clínico variable según patología,Historia clínica y gestión de pacientes,Seguimiento clínico configurable según edad/patología
8,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Bajo cumplimiento de indicaciones médicas,Citas y comunicación con propietarios,Bajo cumplimiento de indicaciones médicas y seguimiento post-alta
9,P03,P01,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Diagnóstico remoto no aceptado sin evaluación física,Inteligencia Artificial,Rechazo al diagnóstico automatizado sin evaluación física
10,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Cálculo asistido de dosis por peso,Inteligencia Artificial,Cálculo asistido de dosis por peso
11,P03,P01,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Aceptación moderada de IA diagnóstica,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
12,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Carga administrativa alta,Gestión administrativa y financiera,Sobrecarga administrativa/operativa sin personal de apoyo
13,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Validación profesional previa a aplicar sugerencias de IA,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
14,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro detallado de medicamentos administrados,Historia clínica y gestión de pacientes,Ficha clínica estructurada con campos estándar y registro detallado de tratamientos
15,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Adopción por todo el equipo de la clínica,Usabilidad y desempeño,Adopción por todo el personal de la clínica (no solo veterinarios)
16,P03,P01,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Preferencia de dispositivo tipo tablet,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
17,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Uso de plataforma veterinaria integral,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
18,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Búsqueda sensible a errores tipográficos,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
19,P05,P02,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Dependencia de datos completos para generar consulta,Gestión administrativa y financiera,Validación de datos y automatización de la facturación (incl. integración SRI)
20,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Impacto económico de inasistencias a citas,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
21,P05,P02,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Control de inventario mediante plataforma,Inventario,Registro de inventario en herramientas no integradas (plataforma externa/Excel)
22,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro de peso en cartillas físicas,Historia clínica y gestión de pacientes,Registro histórico de peso y estado nutricional
23,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Desacuerdo con diagnóstico automatizado,Inteligencia Artificial,Rechazo al diagnóstico automatizado sin evaluación física
24,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Automatización de recordatorios de citas,Citas y comunicación con propietarios,Automatización de recordatorios de citas
25,P05,P02,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Prioridad en protección de datos y soporte técnico,Seguridad,Protección de datos del paciente/propietario
26,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Prioridad en agenda y recordatorios automáticos,Citas y comunicación con propietarios,Automatización de recordatorios de citas
27,P05,P02,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Preferencia de acceso móvil,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
28,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Historial clínico en documentos de Word,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
29,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Búsqueda manual lenta del historial,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
30,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Ausencia de control de inventario formal,Inventario,Ausencia de control de inventario formal (manual/inexistente)
31,P04,P03,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Cronograma de seguimiento de cachorros,Historia clínica y gestión de pacientes,Seguimiento clínico configurable según edad/patología
32,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Seguimiento post-alta intensivo,Citas y comunicación con propietarios,Bajo cumplimiento de indicaciones médicas y seguimiento post-alta
33,P14,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Alta aceptación de IA diagnóstica,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
34,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Carga de monitoreo de pacientes hospitalizados,Usabilidad y desempeño,Carga de monitoreo en pacientes hospitalizados
35,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Revisión veterinaria de sugerencias de IA,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
36,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Prioridad en historial clínico digital,Historia clínica y gestión de pacientes,Priorización de un sistema centralizado de historial y seguimiento de citas
37,P04,P03,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Acceso multiplataforma,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
38,P01,P04,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Historial en aplicaciones ofimáticas,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
39,P01,P04,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Búsqueda desorganizada del historial,Historia clínica y gestión de pacientes,Búsqueda lenta o poco confiable del historial
40,P01,P04,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Demora en el sistema de facturación,Usabilidad y desempeño,Lentitud del sistema de facturación actual
41,P01,P04,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Falta de alertas de vencimiento en el sistema actual,Inventario,Falta de alertas automáticas de vencimiento/revisión oportuna
42,P01,P04,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Pérdida de seguimiento por inasistencias a citas,Citas y comunicación con propietarios,Impacto de inasistencias y pérdida de seguimiento
43,P01,P04,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Envío de resultados por WhatsApp,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
44,P01,P04,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Validación humana del diagnóstico sugerido por IA,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
45,P01,P04,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Portabilidad multiplataforma,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
46,P02,P05,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Falta de información inicial del propietario,Historia clínica y gestión de pacientes,Captura de datos del propietario/paciente incompleta o progresiva
47,P02,P05,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Ausencia de inventario formal y caducidad no controlada,Inventario,Ausencia de control de inventario formal (manual/inexistente)
48,P02,P05,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Comunicación telefónica y recordatorio de citas,Citas y comunicación con propietarios,Canales informales de comunicación con propietarios (WhatsApp/teléfono)
49,P02,P05,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Sin uso de software especializado,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
50,P02,P05,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Confianza moderada en IA diagnóstica,Inteligencia Artificial,Aceptación variable de IA diagnóstica (de moderada a alta)
51,P02,P05,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de módulo contable,Gestión administrativa y financiera,Necesidad de módulo contable y costo como barrera de adopción
52,P02,P05,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Facilidad de uso y bajo costo como criterio de adopción,Usabilidad y desempeño,Facilidad de uso sin experiencia digital y bajo costo
53,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Datos incompletos o inexactos del paciente,Historia clínica y gestión de pacientes,Captura de datos del propietario/paciente incompleta o progresiva
54,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Facturación electrónica mediante SRI,Gestión administrativa y financiera,Validación de datos y automatización de la facturación (incl. integración SRI)
55,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Faltantes de inventario por logística de pedidos,Inventario,Faltantes de stock por logística de pedidos
56,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Control de inventario mediante Excel,Inventario,Registro de inventario en herramientas no integradas (plataforma externa/Excel)
57,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Registro de peso en fichas físicas,Historia clínica y gestión de pacientes,Registro histórico de peso y estado nutricional
58,P07,P06,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Bajo cumplimiento detectado tardíamente,Citas y comunicación con propietarios,Bajo cumplimiento de indicaciones médicas y seguimiento post-alta
59,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de recordatorios de tareas médicas,Citas y comunicación con propietarios,Recordatorios de tareas médicas y vacunación
60,P07,P06,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Condiciones de confianza en IA: revisión y actualizaciones,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
61,P07,P06,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Prioridad en control y recordatorio de vacunas,Historia clínica y gestión de pacientes,Control y recordatorio de vacunación
62,P07,P06,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Costo como barrera de adopción,Gestión administrativa y financiera,Necesidad de módulo contable y costo como barrera de adopción
63,P06,P07,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Fichas físicas sin respaldo digital,Historia clínica y gestión de pacientes,"Registro clínico no digitalizado o disperso (físico, Word, ofimática, plataformas básicas)"
64,P06,P07,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Información incompleta del propietario durante urgencias,Historia clínica y gestión de pacientes,Captura de datos del propietario/paciente incompleta o progresiva
65,P06,P07,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Campos estándar de ficha clínica,Historia clínica y gestión de pacientes,Ficha clínica estructurada con campos estándar y registro detallado de tratamientos
66,P06,P07,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Limitación del diagnóstico remoto mediante fotos,Inteligencia Artificial,Validación/revisión obligatoria del veterinario sobre sugerencias de IA
67,P06,P07,"confirmado_literal | LITERAL verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Necesidad de seguimiento domiciliario,Citas y comunicación con propietarios,Bajo cumplimiento de indicaciones médicas y seguimiento post-alta
68,P06,P07,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Prioridad en notificaciones de vacunación,Citas y comunicación con propietarios,Recordatorios de tareas médicas y vacunación
69,P06,P07,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Requisito de seguridad y estabilidad,Seguridad,Estabilidad y confiabilidad operativa del sistema
70,P06,P07,"confirmado_literal | LITERAL_CON_ELIPSIS verificado contra transcripcion real (cita corregida a verbatim, 20/09/2026)",Preferencia de acceso vía laptop y celular,Usabilidad y desempeño,"Preferencia de acceso multiplataforma/móvil (celular, laptop, tablet)"
